recipe_name,description,ingredients,instructions,image_url,video_url
Spicy Shakshuka with Feta,"A vibrant and hearty Middle Eastern and North African dish featuring eggs poached in a simmering, spicy tomato and pepper sauce, topped with crumbled feta cheese. Perfect for a substantial breakfast or brunch.","[""1 tbsp olive oil"", ""1 large onion, chopped"", ""2 cloves garlic, minced"", ""1 red bell pepper, diced"", ""1 green bell pepper, diced"", ""1 jalape\u00f1o, seeded and minced (optional)"", ""1 tsp ground cumin"", ""1 tsp smoked paprika"", ""1/4 tsp cayenne pepper (or to taste)"", ""1 (28 ounce) can crushed tomatoes"", ""1/2 cup water"", ""Salt and black pepper to taste"", ""6 large eggs"", ""1/4 cup crumbled feta cheese"", ""Fresh parsley or cilantro, chopped, for garnish"", ""Crusty bread, for serving""]","[""Heat olive oil in a large skillet or non-stick pan over medium heat."", ""Add chopped onion and cook until softened, about 5-7 minutes."", ""Stir in minced garlic, diced red and green bell peppers, and jalape\u00f1o (if using). Cook for another 5-7 minutes until peppers are slightly tender."", ""Add cumin, paprika, and cayenne pepper. Cook for 1 minute until fragrant."", ""Pour in the crushed tomatoes and water. Season with salt and black pepper. Bring the sauce to a gentle simmer."", ""Reduce heat to low, cover, and let simmer for 10-15 minutes, allowing the flavors to meld and the sauce to thicken slightly."", ""Create 6 small wells in the sauce. Carefully crack one egg into each well."", ""Cover the skillet again and cook for 8-12 minutes, or until the egg whites are set and the yolks are cooked to your desired consistency."", ""Remove from heat. Sprinkle with crumbled feta cheese and fresh parsley or cilantro."", ""Serve immediately with crusty bread for dipping.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Spicy+Shakshuka+with+Feta,https://www.youtube.com/results?search_query=how+to+make+Spicy+Shakshuka+with+Feta
Mediterranean Baked Cod,"A light and flavorful seafood dish featuring flaky cod baked with fresh herbs, cherry tomatoes, Kalamata olives, and a hint of lemon, inspired by the vibrant flavors of the Mediterranean coast.","[""4 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 1 tsp dried)"", ""3 cloves garlic, minced"", ""2 tablespoons olive oil"", ""1 lemon, thinly sliced"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat oven to 400\b0F (200\b0C)."", ""In a large bowl, combine the halved cherry tomatoes, halved Kalamata olives, chopped parsley, chopped oregano, minced garlic, and olive oil. Season with salt and pepper and toss to combine."", ""Arrange the cod fillets in a single layer in a baking dish. Season the cod fillets lightly with salt and pepper."", ""Spoon the tomato and olive mixture evenly over and around the cod fillets."", ""Place lemon slices on top of each cod fillet."", ""Bake for 12-18 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time will vary depending on the thickness of the fillets."", ""Serve immediately, perhaps with a side of couscous or a simple green salad.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and healthy seafood dish inspired by the sun-drenched coasts of the Mediterranean. Cod is baked with sweet cherry tomatoes, briny Kalamata olives, fresh herbs, and a hint of lemon.","[""4 (6 oz) cod fillets"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""2 tablespoons olive oil"", ""1 lemon, thinly sliced"", ""1/2 teaspoon dried oregano"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a large baking dish, combine the halved cherry tomatoes, Kalamata olives, minced garlic, chopped parsley, olive oil, and dried oregano. Season with salt and pepper. Toss gently to combine."", ""Nestle the cod fillets among the vegetable mixture. Place a few lemon slices on top of each cod fillet."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Serve immediately, spooning the tomato and olive mixture over the fish. Garnish with additional fresh parsley if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and healthy seafood dish inspired by the sun-drenched coasts of the Mediterranean. It features flaky cod baked with sweet cherry tomatoes, briny Kalamata olives, aromatic herbs, and a hint of lemon.","[""4 cod fillets (6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1 red onion, thinly sliced"", ""2 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 2 teaspoons dried)"", ""3 tablespoons olive oil"", ""Juice of 1 lemon"", ""Salt to taste"", ""Black pepper to taste"", ""Optional: Feta cheese for garnish""]","[""Preheat oven to 400\u00b0F (200\u00b0C). Lightly grease a large baking dish."", ""In a large bowl, combine halved cherry tomatoes, pitted Kalamata olives, thinly sliced red onion, minced garlic, chopped parsley, and chopped oregano. Drizzle with 2 tablespoons of olive oil, lemon juice, salt, and pepper. Toss gently to combine."", ""Place the cod fillets in the prepared baking dish. Season the cod with a pinch of salt and pepper."", ""Spoon the tomato-olive mixture around and over the cod fillets."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of the fillets."", ""Remove from oven. Garnish with additional fresh parsley or a sprinkle of crumbled feta cheese, if desired."", ""Serve immediately with a side of quinoa, couscous, or crusty bread to soak up the delicious juices.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and healthy seafood dish inspired by the vibrant flavors of the Mediterranean, featuring tender cod baked with sweet cherry tomatoes, briny olives, and fragrant herbs.","[""2 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""2 tablespoons olive oil"", ""1 tablespoon fresh lemon juice"", ""1 teaspoon dried oregano"", ""Salt to taste"", ""Black pepper to taste"", ""Lemon wedges for serving""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a medium bowl, combine halved cherry tomatoes, halved Kalamata olives, minced garlic, chopped parsley, dried oregano, 1 tablespoon olive oil, and lemon juice. Season with salt and pepper and mix well."", ""Place cod fillets in a baking dish. Drizzle the remaining 1 tablespoon of olive oil over the fish."", ""Spoon the tomato and olive mixture evenly over and around the cod fillets."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Garnish with fresh parsley if desired and serve immediately with lemon wedges.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Speedy Lemon Garlic Butter Pasta with Spinach,"A quick and flavorful weeknight pasta dish featuring tender pasta coated in a bright lemon-garlic butter sauce, wilted spinach, and a sprinkle of Parmesan. It's on the table in under 20 minutes!","[""8 oz (about 225g) spaghetti or linguine"", ""4 tbsp unsalted butter"", ""3 cloves garlic, minced"", ""1/2 tsp red pepper flakes (optional)"", ""Juice of 1 lemon (about 2-3 tbsp)"", ""1/4 cup reserved pasta water"", ""2 cups fresh spinach"", ""1/4 cup grated Parmesan cheese, plus more for serving"", ""Salt and black pepper to taste""]","[""Cook pasta according to package directions in salted water. Before draining, reserve about 1/2 cup of the pasta water."", ""While pasta cooks, melt butter in a large skillet over medium heat. Add minced garlic and red pepper flakes (if using) and saut\u00e9 for 1-2 minutes until fragrant, being careful not to burn the garlic."", ""Add lemon juice and 1/4 cup of the reserved pasta water to the skillet, stirring to combine and create a light sauce."", ""Add fresh spinach to the skillet and cook, stirring, until it wilts, about 1-2 minutes."", ""Drain the cooked pasta and add it directly to the skillet with the sauce and spinach. Add the grated Parmesan cheese."", ""Toss everything together until the pasta is well coated and the cheese has melted into the sauce. Add more reserved pasta water if needed to reach desired consistency."", ""Season with salt and black pepper to taste. Serve immediately, topped with extra Parmesan cheese if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Speedy+Lemon+Garlic+Butter+Pasta+with+Spinach,https://www.youtube.com/results?search_query=how+to+make+Speedy+Lemon+Garlic+Butter+Pasta+with+Spinach
Quick Chana Masala,"A hearty and flavorful Indian chickpea curry, perfect for a quick and satisfying vegetarian meal. It's rich in spices and goes well with rice or naan.","[""1 tbsp vegetable oil"", ""1 large onion, finely chopped"", ""2 cloves garlic, minced"", ""1 inch ginger, grated"", ""1 tsp cumin seeds"", ""1 tsp coriander powder"", ""1/2 tsp turmeric powder"", ""1/2 tsp red chili powder (or to taste)"", ""1/2 tsp garam masala"", ""1 can (14.5 oz) diced tomatoes, undrained"", ""2 cans (15 oz each) chickpeas, drained and rinsed"", ""1/2 cup water (or vegetable broth)"", ""Salt to taste"", ""Fresh cilantro, chopped (for garnish)"", ""Lemon wedge (for serving, optional)""]","[""Heat oil in a large pot or deep skillet over medium heat. Add cumin seeds and let them sizzle for 30 seconds until fragrant."", ""Add chopped onion and cook until softened and translucent, about 5-7 minutes."", ""Stir in minced garlic and grated ginger, and cook for another minute until aromatic."", ""Add coriander powder, turmeric powder, red chili powder, and garam masala. Cook for 1 minute, stirring constantly, allowing the spices to toast."", ""Pour in the can of diced tomatoes (with their juice) and bring to a simmer. Cook for 5-7 minutes, stirring occasionally, until the sauce thickens slightly and the oil begins to separate."", ""Add the drained and rinsed chickpeas and 1/2 cup water (or broth). Stir well to combine."", ""Bring the curry to a gentle simmer, then reduce heat to low, cover, and cook for 10-15 minutes, allowing the flavors to meld. Stir occasionally."", ""Season with salt to taste. If the curry is too thick, add a little more water."", ""Garnish with fresh chopped cilantro and serve hot with rice, naan bread, or roti. A squeeze of fresh lemon juice before serving adds a nice zing.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Quick+Chana+Masala,https://www.youtube.com/results?search_query=how+to+make+Quick+Chana+Masala
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light and flavorful seafood dish featuring flaky cod baked with vibrant cherry tomatoes, briny Kalamata olives, aromatic herbs, and a hint of lemon. Perfect for a healthy Mediterranean-inspired weeknight dinner.","[""4 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""2 tablespoons olive oil"", ""1 lemon, thinly sliced"", ""1 teaspoon dried oregano"", ""1/2 teaspoon red pepper flakes (optional)"", ""Salt and freshly ground black pepper to taste""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a large baking dish or rimmed sheet pan, combine the halved cherry tomatoes, halved Kalamata olives, minced garlic, chopped parsley, dried oregano, red pepper flakes (if using), olive oil, salt, and pepper. Toss gently to combine."", ""Place the cod fillets on top of the tomato and olive mixture. Arrange lemon slices over the fish."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of the fillets."", ""Serve immediately, spooning the tomato and olive mixture over the fish. Garnish with extra fresh parsley if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Mediterranean Lemon Herb Baked Cod,"A simple, healthy, and flavorful seafood dish inspired by the fresh ingredients of the Mediterranean, perfect for a weeknight meal.","[""2 cod fillets (about 6 oz each)"", ""1 tablespoon olive oil"", ""1 lemon, thinly sliced"", ""2 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""1/4 cup fresh dill, chopped"", ""1/2 teaspoon dried oregano"", ""Salt to taste"", ""Black pepper to taste"", ""Cherry tomatoes, halved (optional, for garnish)""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""Lightly grease a baking dish or line with parchment paper."", ""Pat the cod fillets dry with a paper towel. Season both sides with salt and pepper."", ""Place the cod fillets in the prepared baking dish."", ""In a small bowl, combine olive oil, minced garlic, chopped parsley, chopped dill, and dried oregano. Stir well."", ""Spoon the herb mixture evenly over the cod fillets."", ""Arrange lemon slices over and around the fish."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of the fillets."", ""Garnish with fresh cherry tomatoes if desired before serving."", ""Serve immediately with a side of your favorite Mediterranean-inspired vegetables or rice.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Lemon+Herb+Baked+Cod,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Lemon+Herb+Baked+Cod
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and easy-to-prepare seafood dish inspired by the fresh ingredients of the Mediterranean coast. Perfect for a weeknight meal or a casual gathering.","[""1.5 lbs cod fillets (or other firm white fish)"", ""1 pint cherry tomatoes, halved"", ""0.5 cup Kalamata olives, pitted and halved"", ""0.25 cup fresh parsley, chopped"", ""0.25 cup fresh dill, chopped"", ""3 cloves garlic, minced"", ""0.25 cup extra virgin olive oil"", ""Juice of 1 lemon"", ""1 tsp dried oregano"", ""Salt to taste"", ""Black pepper to taste"", ""Lemon wedges for serving""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a large bowl, combine the halved cherry tomatoes, Kalamata olives, chopped parsley, chopped dill, minced garlic, dried oregano, lemon juice, 2 tablespoons of olive oil, salt, and pepper. Toss gently to combine."", ""Arrange the cod fillets in a single layer in a baking dish. Drizzle the remaining 2 tablespoons of olive oil over the fish and season lightly with salt and pepper."", ""Spoon the tomato-olive mixture evenly over and around the cod fillets."", ""Bake for 12-18 minutes, or until the fish is opaque and flakes easily with a fork. Cooking time will vary depending on the thickness of the fish."", ""Remove from oven and let rest for a few minutes."", ""Serve immediately with fresh lemon wedges.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Mediterranean Lemon-Herb Grilled Salmon with Quinoa,"A vibrant and healthy Mediterranean-inspired dish featuring flaky grilled salmon topped with a zesty fresh herb salsa, served alongside light and fluffy quinoa.","[""2 salmon fillets (6 oz each), skin on or off"", ""1 tbsp olive oil"", ""1/2 tsp salt"", ""1/4 tsp black pepper"", ""For the Lemon-Herb Salsa:"", ""1/4 cup fresh parsley, finely chopped"", ""2 tbsp fresh mint, finely chopped"", ""1 tbsp fresh dill, finely chopped"", ""1 clove garlic, minced"", ""Zest of 1 lemon"", ""2 tbsp fresh lemon juice"", ""2 tbsp extra virgin olive oil"", ""Pinch of red pepper flakes (optional)"", ""For the Quinoa:"", ""1 cup quinoa, rinsed"", ""2 cups vegetable broth or water"", ""1/4 tsp salt"", ""Cherry tomatoes and cucumber slices for serving (optional)""]","[""Prepare the quinoa: In a medium saucepan, combine rinsed quinoa, vegetable broth (or water), and salt. Bring to a boil, then reduce heat to low, cover, and simmer for 15 minutes, or until all liquid is absorbed. Remove from heat and let stand, covered, for 5 minutes, then fluff with a fork."", ""Prepare the salmon: Pat salmon fillets dry with paper towels. Rub with 1 tablespoon olive oil, salt, and pepper."", ""Preheat a grill or grill pan to medium-high heat. Place salmon fillets skin-side down (if applicable) and grill for 4-6 minutes per side, or until cooked through and flakes easily with a fork. Cooking time will vary based on thickness."", ""While salmon is grilling, prepare the lemon-herb salsa: In a small bowl, combine chopped parsley, mint, dill, minced garlic, lemon zest, lemon juice, 2 tablespoons extra virgin olive oil, and red pepper flakes (if using). Stir well to combine."", ""To serve, place a generous portion of quinoa on each plate. Top with the grilled salmon fillet. Spoon the fresh lemon-herb salsa generously over the salmon. Garnish with cherry tomatoes and cucumber slices if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Lemon-Herb+Grilled+Salmon+with+Quinoa,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Lemon-Herb+Grilled+Salmon+with+Quinoa
Mediterranean Lemon Herb Baked Cod,"A light, healthy, and flavorful cod dish baked with fresh herbs, cherry tomatoes, Kalamata olives, and a zesty lemon dressing, perfect for a quick weeknight meal or a casual dinner party.","[""2 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""1/4 cup fresh parsley, chopped"", ""2 cloves garlic, minced"", ""1 lemon, thinly sliced, plus 2 tbsp juice"", ""2 tbsp extra virgin olive oil"", ""1 tsp dried oregano"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a small bowl, whisk together olive oil, lemon juice, minced garlic, dried oregano, salt, and pepper."", ""Place cod fillets in a baking dish."", ""Arrange halved cherry tomatoes, halved Kalamata olives, and lemon slices around and over the cod."", ""Pour the olive oil and lemon mixture over the cod and vegetables."", ""Sprinkle with fresh parsley."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Serve immediately, garnished with extra fresh parsley if desired.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Lemon+Herb+Baked+Cod,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Lemon+Herb+Baked+Cod
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light and flavorful Mediterranean-inspired dish featuring flaky cod baked with sweet cherry tomatoes, briny olives, fresh herbs, and a hint of lemon. Perfect for a healthy weeknight meal.","[""4 cod fillets (about 6 oz each)"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""2 cloves garlic, minced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 1 teaspoon dried)"", ""2 tablespoons olive oil"", ""1 lemon, thinly sliced"", ""Salt to taste"", ""Black pepper to taste""]","[""Preheat your oven to 400\u00b0F (200\u00b0C)."", ""In a large baking dish, combine the halved cherry tomatoes, pitted Kalamata olives, minced garlic, chopped parsley, and chopped oregano."", ""Drizzle with 1 tablespoon of olive oil and season with salt and pepper. Toss gently to combine."", ""Arrange the cod fillets over the vegetable mixture in the baking dish. Drizzle the remaining 1 tablespoon of olive oil over the fish and season with a pinch more salt and pepper."", ""Place lemon slices over each cod fillet."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork."", ""Serve immediately, spooning some of the cooked tomato and olive mixture over the fish.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Lemon Garlic Ricotta Pasta,"A quick and creamy weeknight pasta dish bursting with fresh lemon, garlic, and smooth ricotta, finished with a hint of chili for warmth.","[""12 oz spaghetti or linguine"", ""1 cup fresh ricotta cheese"", ""1/4 cup reserved pasta water"", ""3 cloves garlic, minced"", ""1/2 cup grated Parmesan cheese, plus more for serving"", ""Zest of 1 large lemon"", ""2 tbsp fresh lemon juice"", ""1/4 cup fresh parsley, chopped"", ""1/2 tsp red pepper flakes (optional)"", ""2 tbsp olive oil"", ""Salt and black pepper to taste""]","[""Cook pasta according to package directions until al dente. Before draining, reserve 1/4 cup of the starchy pasta water."", ""While pasta cooks, in a large bowl, whisk together the ricotta cheese, reserved pasta water, minced garlic, lemon zest, and lemon juice until smooth."", ""Drain the pasta and add it directly to the bowl with the ricotta mixture. Add the grated Parmesan cheese, chopped parsley, and red pepper flakes (if using)."", ""Drizzle with olive oil. Toss well to combine, ensuring the pasta is evenly coated with the creamy sauce. If the sauce is too thick, add a little more pasta water, one tablespoon at a time, until desired consistency is reached."", ""Season with salt and black pepper to taste. Serve immediately, garnished with extra Parmesan and a sprinkle of fresh parsley.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Lemon+Garlic+Ricotta+Pasta,https://www.youtube.com/results?search_query=how+to+make+Lemon+Garlic+Ricotta+Pasta
Mediterranean Baked Cod with Cherry Tomatoes and Olives,"A light, flavorful, and healthy seafood dish featuring flaky cod baked with sun-ripened cherry tomatoes, briny Kalamata olives, aromatic garlic, and fresh herbs, all drizzled with olive oil. It's a taste of the Mediterranean that's perfect for a weeknight meal or entertaining.","[""4 cod fillets (approx. 6 oz each), fresh or thawed"", ""1 pint cherry tomatoes, halved"", ""1/2 cup Kalamata olives, pitted and halved"", ""4 cloves garlic, thinly sliced"", ""1/4 cup fresh parsley, chopped"", ""2 tablespoons fresh oregano, chopped (or 1 tsp dried)"", ""3 tablespoons extra virgin olive oil"", ""1 lemon, thinly sliced"", ""Salt to taste"", ""Black pepper to taste"", ""Optional: Pinch of red pepper flakes""]","[""Preheat oven to 400\u00b0F (200\u00b0C)."", ""In a large mixing bowl, combine the halved cherry tomatoes, pitted olives, sliced garlic, chopped parsley, and chopped oregano. Drizzle with 2 tablespoons of olive oil and toss gently to combine. Season with a pinch of salt and pepper."", ""Arrange the cod fillets in a single layer in a baking dish. Season both sides of the cod with salt and pepper."", ""Spoon the tomato and olive mixture evenly over and around the cod fillets."", ""Place lemon slices on top of the cod fillets."", ""Drizzle the remaining 1 tablespoon of olive oil over everything."", ""Bake for 12-15 minutes, or until the cod is opaque and flakes easily with a fork. Cooking time may vary depending on the thickness of the fillets."", ""Garnish with extra fresh parsley if desired before serving. Serve immediately, perhaps with a side of quinoa or crusty bread.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives,https://www.youtube.com/results?search_query=how+to+make+Mediterranean+Baked+Cod+with+Cherry+Tomatoes+and+Olives
Lemon Garlic Butter Pasta with Spinach,"A quick, flavorful, and incredibly simple pasta dish perfect for a busy weeknight. It's light yet satisfying, with bright lemon and savory garlic notes.","[""12 oz spaghetti or linguine"", ""4 tablespoons unsalted butter"", ""4 cloves garlic, minced"", ""1/2 cup dry white wine or vegetable broth"", ""Juice of 1 large lemon"", ""1/4 cup reserved pasta water"", ""4 cups fresh spinach"", ""1/2 cup grated Parmesan cheese (plus more for serving)"", ""Salt and freshly ground black pepper to taste"", ""Red pepper flakes (optional, for a hint of heat)"", ""Fresh parsley, chopped (for garnish)""]","[""Bring a large pot of salted water to a rolling boil. Add the pasta and cook according to package directions until al dente."", ""While the pasta cooks, melt the butter in a large skillet or pot over medium heat. Add the minced garlic and cook for 1 minute until fragrant, being careful not to burn it."", ""Pour in the white wine or vegetable broth and bring to a simmer, scraping up any browned bits from the bottom of the pan. Let it simmer for 2-3 minutes to reduce slightly."", ""Add the lemon juice and about 1/4 cup of the reserved pasta water to the skillet. Stir well."", ""Once the pasta is cooked, drain it, reserving at least 1 cup of pasta water. Add the drained pasta directly to the skillet with the sauce."", ""Add the fresh spinach to the skillet. Toss everything together, allowing the spinach to wilt from the heat of the pasta and sauce."", ""Stir in the Parmesan cheese. Toss continuously until the sauce coats the pasta beautifully. If the sauce seems too dry, add a splash more reserved pasta water, one tablespoon at a time, until desired consistency is reached."", ""Season with salt, black pepper, and optional red pepper flakes to taste. Garnish with fresh parsley and serve immediately with extra Parmesan cheese on the side.""]",https://placehold.co/600x400/E868A7/FFFFFF?text=Lemon+Garlic+Butter+Pasta+with+Spinach,https://www.youtube.com/results?search_query=how+to+make+Lemon+Garlic+Butter+Pasta+with+Spinach
